GEOID,year,name,parent.location,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed
53001,2004,Adams County,Washington,16428,18.2,1785,31.61,430,33888,84300,22.9,50.93,0.12,47.07,0.27,0.46,0.01,1.09,0.05,23,13,0.73,1.29,0,0,0
53001,2005,Adams County,Washington,17029,16.18,1819,33.1,519,39679,120700,26.8,42.94,0.16,54.84,0.28,0.12,0,1.42,0.23,19,12,0.66,1.04,0,0,0
53001,2007,Adams County,Washington,17029,16.18,1885,33.1,519,39679,120700,26.8,42.94,0.16,54.84,0.28,0.12,0,1.42,0.23,13,7,0.37,0.69,1,0,0
53001,2008,Adams County,Washington,17029,16.18,1918,33.1,519,39679,120700,26.8,42.94,0.16,54.84,0.28,0.12,0,1.42,0.23,11,4,0.21,0.57,1,0,0
53001,2009,Adams County,Washington,17029,16.18,1951,33.1,519,39679,120700,26.8,42.94,0.16,54.84,0.28,0.12,0,1.42,0.23,18,7,0.36,0.92,0,0,0
53001,2010,Adams County,Washington,18728,17.92,1984,34.69,582,41798,131600,24.8,38.78,0.25,59.26,0.41,0.53,0.02,0.66,0.1,7,3,0.15,0.35,1,0,0
53001,2011,Adams County,Washington,19081,17.58,2018,34.71,680,46564,138400,28.8,36.23,0.2,61.46,0.08,0.63,0.13,1.26,0,12,10,0.5,0.59,1,0,0
53001,2012,Adams County,Washington,19081,17.58,2052,34.71,680,46564,138400,28.8,36.23,0.2,61.46,0.08,0.63,0.13,1.26,0,5,4,0.19,0.24,1,0,0
53001,2015,Adams County,Washington,19081,17.58,2155,34.71,680,46564,138400,28.8,36.23,0.2,61.46,0.08,0.63,0.13,1.26,0,8,7,0.32,0.37,1,0,0
53003,2005,Asotin County,Washington,21198,12.59,2899,29.25,601,40643,148600,30.2,93.39,0,2.57,0.83,0.73,0.02,2.47,0,,,,,0,0,0
53003,2006,Asotin County,Washington,21198,12.59,2928,29.25,601,40643,148600,30.2,93.39,0,2.57,0.83,0.73,0.02,2.47,0,,,,,0,0,0
53003,2007,Asotin County,Washington,21198,12.59,2958,29.25,601,40643,148600,30.2,93.39,0,2.57,0.83,0.73,0.02,2.47,0,,,,,0,0,0
53003,2008,Asotin County,Washington,21198,12.59,2987,29.25,601,40643,148600,30.2,93.39,0,2.57,0.83,0.73,0.02,2.47,0,,,,,0,0,0
53003,2009,Asotin County,Washington,21198,12.59,3017,29.25,601,40643,148600,30.2,93.39,0,2.57,0.83,0.73,0.02,2.47,0,,,,,0,0,0
53005,2004,Benton County,Washington,142475,10.28,18202,31.25,566,47044,119900,23.9,81.74,0.86,12.5,0.68,2.18,0.09,1.82,0.14,540,288,1.58,2.97,1,0,0
53007,2003,Chelan County,Washington,66616,12.43,9233,35.34,535,37316,148400,27,77.44,0.17,19.26,0.83,0.66,0.1,1.4,0.14,153,93,1.01,1.66,1,0,0
53007,2004,Chelan County,Washington,66616,12.43,9363,35.34,535,37316,148400,27,77.44,0.17,19.26,0.83,0.66,0.1,1.4,0.14,135,79,0.84,1.44,1,0,0
53011,2004,Clark County,Washington,345238,9.09,46633,32.75,684,48376,156600,26.2,86.65,1.63,4.71,0.75,3.18,0.35,2.6,0.14,1627,1019,2.19,3.49,0,0,0
53011,2009,Clark County,Washington,416205,7.65,52852,31.25,846,58095,258600,29.9,83.96,1.62,6.6,0.48,3.75,0.4,3.05,0.13,1299,815,1.54,2.46,1,0,0
53011,2012,Clark County,Washington,444506,7.93,55855,35.74,990,60756,234800,30.1,80.25,1.8,8.42,0.59,4.14,0.71,3.9,0.18,1175,810,1.45,2.1,1,0,0
53011,2013,Clark County,Washington,444506,7.93,56735,35.74,990,60756,234800,30.1,80.25,1.8,8.42,0.59,4.14,0.71,3.9,0.18,1179,833,1.47,2.08,1,0,0
53013,2003,Columbia County,Washington,4064,12.65,506,30.59,467,33500,85000,23.7,90.67,0.22,6.35,0.84,0.39,0.05,1.48,0,11,7,1.38,2.17,0,0,0
53013,2004,Columbia County,Washington,4064,12.65,503,30.59,467,33500,85000,23.7,90.67,0.22,6.35,0.84,0.39,0.05,1.48,0,3,2,0.4,0.6,0,0,0
53013,2005,Columbia County,Washington,3984,10.04,500,28.58,489,40774,135200,32,90.11,0,4.94,2.69,0.65,0.3,1.31,0,9,8,1.6,1.8,0,0,0
53013,2006,Columbia County,Washington,3984,10.04,497,28.58,489,40774,135200,32,90.11,0,4.94,2.69,0.65,0.3,1.31,0,7,3,0.6,1.41,0,0,0
53013,2007,Columbia County,Washington,3984,10.04,494,28.58,489,40774,135200,32,90.11,0,4.94,2.69,0.65,0.3,1.31,0,4,3,0.61,0.81,0,0,0
53013,2008,Columbia County,Washington,3984,10.04,490,28.58,489,40774,135200,32,90.11,0,4.94,2.69,0.65,0.3,1.31,0,3,2,0.41,0.61,0,0,0
53013,2009,Columbia County,Washington,3984,10.04,487,28.58,489,40774,135200,32,90.11,0,4.94,2.69,0.65,0.3,1.31,0,5,4,0.82,1.03,0,0,0
53013,2010,Columbia County,Washington,4078,8.55,484,27.47,583,45417,159100,38.1,89.48,0.29,6.23,1.15,0.56,0.34,1.72,0.22,3,2,0.41,0.62,0,0,0
53013,2011,Columbia County,Washington,3989,10.81,487,26.28,721,38581,154800,34.3,88.52,0.35,6.39,0.45,0.55,0.93,2.53,0.28,2,2,0.41,0.41,0,0,0
53013,2013,Columbia County,Washington,3989,10.81,493,26.28,721,38581,154800,34.3,88.52,0.35,6.39,0.45,0.55,0.93,2.53,0.28,2,2,0.41,0.41,0,0,0
53015,2004,Cowlitz County,Washington,92948,13.97,12467,32.36,518,39797,129900,26.9,89.91,0.48,4.55,1.38,1.29,0.12,2.2,0.07,487,329,2.64,3.91,0,0,0
53015,2009,Cowlitz County,Washington,99874,10.96,13550,32.43,670,46379,183500,31.1,87.68,0.52,6.53,0.87,1.22,0.13,3,0.05,342,226,1.67,2.52,1,0,0
53015,2010,Cowlitz County,Washington,102410,12.63,13767,34.21,725,46568,189900,34.1,85.76,0.56,7.79,1.33,1.44,0.2,2.86,0.06,299,200,1.45,2.17,1,0,0
53015,2011,Cowlitz County,Washington,102338,12.46,13864,34.38,765,47452,175300,33.7,84.86,0.57,8.3,0.93,1.28,0.18,3.81,0.08,334,240,1.73,2.41,1,0,0
53015,2012,Cowlitz County,Washington,102338,12.46,13960,34.38,765,47452,175300,33.7,84.86,0.57,8.3,0.93,1.28,0.18,3.81,0.08,319,223,1.6,2.29,1,0,0
53015,2013,Cowlitz County,Washington,102338,12.46,14057,34.38,765,47452,175300,33.7,84.86,0.57,8.3,0.93,1.28,0.18,3.81,0.08,351,243,1.73,2.5,1,0,0
53015,2014,Cowlitz County,Washington,102338,12.46,14153,34.38,765,47452,175300,33.7,84.86,0.57,8.3,0.93,1.28,0.18,3.81,0.08,360,270,1.91,2.54,1,0,0
53017,2010,Douglas County,Washington,38431,11.13,4173,30.03,753,52285,213900,26.8,67.84,0.22,28.66,0.76,0.7,0.13,1.56,0.14,,,,,0,0,0
53017,2011,Douglas County,Washington,39599,9.75,4234,28.18,824,53636,209700,26.6,66.12,0.2,30.02,0.9,0.67,0.05,1.97,0.07,,,,,0,0,0
53017,2012,Douglas County,Washington,39599,9.75,4295,28.18,824,53636,209700,26.6,66.12,0.2,30.02,0.9,0.67,0.05,1.97,0.07,,,,,0,0,0
53017,2013,Douglas County,Washington,39599,9.75,4357,28.18,824,53636,209700,26.6,66.12,0.2,30.02,0.9,0.67,0.05,1.97,0.07,,,,,0,0,0
53017,2014,Douglas County,Washington,39599,9.75,4418,28.18,824,53636,209700,26.6,66.12,0.2,30.02,0.9,0.67,0.05,1.97,0.07,,,,,0,0,0
53019,2002,Ferry County,Washington,7260,19.04,789,27.03,380,30388,92400,22.6,74.92,0.21,2.82,17.75,0.25,0.06,2.98,1.02,12,0,0,1.52,0,0,0
53019,2004,Ferry County,Washington,7260,19.04,816,27.03,380,30388,92400,22.6,74.92,0.21,2.82,17.75,0.25,0.06,2.98,1.02,4,3,0.37,0.49,0,0,0
53019,2005,Ferry County,Washington,7444,12.03,829,26.77,513,36096,133500,27.7,76.24,0.27,3.34,17.13,1.8,0,1.17,0.05,3,3,0.36,0.36,0,0,0
53019,2006,Ferry County,Washington,7444,12.03,842,26.77,513,36096,133500,27.7,76.24,0.27,3.34,17.13,1.8,0,1.17,0.05,2,2,0.24,0.24,0,0,0
53019,2007,Ferry County,Washington,7444,12.03,855,26.77,513,36096,133500,27.7,76.24,0.27,3.34,17.13,1.8,0,1.17,0.05,4,2,0.23,0.47,0,0,0
53019,2008,Ferry County,Washington,7444,12.03,869,26.77,513,36096,133500,27.7,76.24,0.27,3.34,17.13,1.8,0,1.17,0.05,4,4,0.46,0.46,0,0,0
53019,2009,Ferry County,Washington,7444,12.03,882,26.77,513,36096,133500,27.7,76.24,0.27,3.34,17.13,1.8,0,1.17,0.05,2,2,0.23,0.23,0,0,0
53019,2010,Ferry County,Washington,7551,12.42,895,28.06,546,35742,154400,28,74.98,0.24,3.36,16.09,0.69,0.11,4.42,0.11,1,1,0.11,0.11,0,0,0
53019,2012,Ferry County,Washington,7652,13.96,906,28.81,550,38125,166000,29.5,74.1,0.26,4.04,15.22,0.13,0.64,5.61,0,4,4,0.44,0.44,0,0,0
53019,2013,Ferry County,Washington,7652,13.96,912,28.81,550,38125,166000,29.5,74.1,0.26,4.04,15.22,0.13,0.64,5.61,0,2,2,0.22,0.22,0,0,0
53021,2003,Franklin County,Washington,49347,19.21,5924,34.37,464,38991,102000,25.4,47.56,2.27,46.67,0.48,1.55,0.06,1.32,0.08,104,56,0.95,1.76,0,0,0
53021,2004,Franklin County,Washington,49347,19.21,6198,34.37,464,38991,102000,25.4,47.56,2.27,46.67,0.48,1.55,0.06,1.32,0.08,121,70,1.13,1.95,0,0,0
53021,2005,Franklin County,Washington,69757,16.58,6473,32.65,655,45337,142000,30.9,45.3,1.75,49.23,0.55,1.78,0.05,1.15,0.2,150,77,1.19,2.32,0,0,0
53021,2007,Franklin County,Washington,69757,16.58,7022,32.65,655,45337,142000,30.9,45.3,1.75,49.23,0.55,1.78,0.05,1.15,0.2,165,84,1.2,2.35,1,0,0
53021,2008,Franklin County,Washington,69757,16.58,7297,32.65,655,45337,142000,30.9,45.3,1.75,49.23,0.55,1.78,0.05,1.15,0.2,163,86,1.18,2.23,1,0,0
53021,2009,Franklin County,Washington,69757,16.58,7571,32.65,655,45337,142000,30.9,45.3,1.75,49.23,0.55,1.78,0.05,1.15,0.2,150,76,1,1.98,1,0,0
53023,2000,Garfield County,Washington,2397,14.22,257,26.04,390,33398,68100,23.6,96.12,0,1.96,0.38,0.63,0.04,0.83,0.04,1,1,0.39,0.39,0,0,0
53023,2001,Garfield County,Washington,2397,14.22,257,26.04,390,33398,68100,23.6,96.12,0,1.96,0.38,0.63,0.04,0.83,0.04,3,3,1.17,1.17,0,0,0
53023,2002,Garfield County,Washington,2397,14.22,257,26.04,390,33398,68100,23.6,96.12,0,1.96,0.38,0.63,0.04,0.83,0.04,2,0,0,0.78,0,0,0
53023,2003,Garfield County,Washington,2397,14.22,257,26.04,390,33398,68100,23.6,96.12,0,1.96,0.38,0.63,0.04,0.83,0.04,1,0,0,0.39,0,0,0
53023,2004,Garfield County,Washington,2397,14.22,257,26.04,390,33398,68100,23.6,96.12,0,1.96,0.38,0.63,0.04,0.83,0.04,1,1,0.39,0.39,0,0,0
53023,2005,Garfield County,Washington,2129,12.72,258,28.7,512,40135,113500,29,90.98,0,7.05,0,0.52,0,1.46,0,0,0,0,0,0,0,0
53023,2006,Garfield County,Washington,2129,12.72,258,28.7,512,40135,113500,29,90.98,0,7.05,0,0.52,0,1.46,0,0,0,0,0,0,0,0
53023,2007,Garfield County,Washington,2129,12.72,258,28.7,512,40135,113500,29,90.98,0,7.05,0,0.52,0,1.46,0,1,1,0.39,0.39,0,0,0
53023,2008,Garfield County,Washington,2129,12.72,258,28.7,512,40135,113500,29,90.98,0,7.05,0,0.52,0,1.46,0,0,0,0,0,0,0,0
53023,2009,Garfield County,Washington,2129,12.72,258,28.7,512,40135,113500,29,90.98,0,7.05,0,0.52,0,1.46,0,0,0,0,0,0,0,0
53023,2010,Garfield County,Washington,2266,6.3,258,26.09,670,51325,129400,16.5,92.76,0,4.02,0.22,1.68,0,1.15,0.18,0,0,0,0,0,0,0
53023,2011,Garfield County,Washington,2230,4.43,260,31.79,658,45855,140900,31.3,94.08,0,3.36,0.13,1.21,0,1.21,0,1,1,0.39,0.39,0,0,0
53023,2012,Garfield County,Washington,2230,4.43,261,31.79,658,45855,140900,31.3,94.08,0,3.36,0.13,1.21,0,1.21,0,1,1,0.38,0.38,0,0,0
53023,2013,Garfield County,Washington,2230,4.43,263,31.79,658,45855,140900,31.3,94.08,0,3.36,0.13,1.21,0,1.21,0,2,2,0.76,0.76,0,0,0
53023,2014,Garfield County,Washington,2230,4.43,265,31.79,658,45855,140900,31.3,94.08,0,3.36,0.13,1.21,0,1.21,0,1,1,0.38,0.38,0,0,0
53023,2015,Garfield County,Washington,2230,4.43,266,31.79,658,45855,140900,31.3,94.08,0,3.36,0.13,1.21,0,1.21,0,0,0,0,0,0,0,0
53023,2016,Garfield County,Washington,2230,4.43,268,31.79,658,45855,140900,31.3,94.08,0,3.36,0.13,1.21,0,1.21,0,0,0,0,0,0,0,0
53027,2006,Grays Harbor County,Washington,71117,11.64,8847,33.14,635,41618,151100,27.1,83.58,0.64,7.24,3.83,1.21,0.15,3.15,0.19,246,91,1.03,2.78,1,0,0
53027,2009,Grays Harbor County,Washington,71117,11.64,9114,33.14,635,41618,151100,27.1,83.58,0.64,7.24,3.83,1.21,0.15,3.15,0.19,171,88,0.97,1.88,1,0,0
53027,2010,Grays Harbor County,Washington,72797,12.32,9203,32.2,696,42440,161400,29,81.43,1.05,8.62,4.13,1.37,0.24,3.07,0.1,152,124,1.35,1.65,1,0,0
53027,2012,Grays Harbor County,Washington,71419,11.72,9246,32.21,729,43538,158300,29.8,80.13,1.14,9.6,4.05,1.49,0.35,3.21,0.04,159,136,1.47,1.72,1,0,0
53027,2015,Grays Harbor County,Washington,71419,11.72,9310,32.21,729,43538,158300,29.8,80.13,1.14,9.6,4.05,1.49,0.35,3.21,0.04,232,132,1.42,2.49,1,0,0
53031,2007,Jefferson County,Washington,29223,8.2,3364,23.74,761,46183,296800,32.4,90.35,0.58,2.75,1.95,1.12,0,3.01,0.25,22,16,0.48,0.65,1,0,0
53031,2008,Jefferson County,Washington,29223,8.2,3448,23.74,761,46183,296800,32.4,90.35,0.58,2.75,1.95,1.12,0,3.01,0.25,26,18,0.52,0.75,1,0,0
53031,2013,Jefferson County,Washington,30083,5.98,3716,24.96,845,49279,284500,32.2,88.65,0.79,3.41,2.16,1.63,0.14,3.23,0,38,27,0.73,1.02,1,0,0
53031,2015,Jefferson County,Washington,30083,5.98,3783,24.96,845,49279,284500,32.2,88.65,0.79,3.41,2.16,1.63,0.14,3.23,0,37,23,0.61,0.98,1,0,0
53033,2003,King County,Washington,1737034,8.35,296593,40.16,758,53157,236900,26.1,73.41,5.28,5.48,0.82,10.74,0.5,3.49,0.26,6046,3598,1.21,2.04,1,0,0
53033,2004,King County,Washington,1737034,8.35,300296,40.16,758,53157,236900,26.1,73.41,5.28,5.48,0.82,10.74,0.5,3.49,0.26,6496,3912,1.3,2.16,1,0,0
53033,2005,King County,Washington,1858788,5.89,303999,39.15,965,67246,398600,28.4,68.6,5.73,7.54,0.64,13.04,0.6,3.5,0.33,6815,4344,1.43,2.24,1,0,0
53033,2006,King County,Washington,1858788,5.89,307702,39.15,965,67246,398600,28.4,68.6,5.73,7.54,0.64,13.04,0.6,3.5,0.33,6829,3771,1.23,2.22,1,0,0
53033,2007,King County,Washington,1858788,5.89,311405,39.15,965,67246,398600,28.4,68.6,5.73,7.54,0.64,13.04,0.6,3.5,0.33,6242,3231,1.04,2,1,0,0
